Train No,Train Name,SEQ,Station Code,Station Name,Arrival time,Departure Time,Distance,Source Station,Source Station Name,Destination Station,Destination Station Name
9434,GIMB BDTS WE,14,BDTS,BANDRA TERMI,06:15:00,06:15:00,780,GIMB,GANDHIDHAM JN.,BDTS,BANDRA TERMINUS
9621,AII BDTS SF,12,BDTS,BANDRA TERMI,04:45:00,04:45:00,1281,AII,AJMER JN.,BDTS,BANDRA TERMINUS
9622,BDTS AII SF,12,AII,AJMER JN.,03:25:00,03:25:00,1281,BDTS,BANDRA TERMINUS,AII,AJMER JN.
9721,JP UDZ SF SP,12,UDZ,UDAIPUR CITY,13:30:00,13:30:00,429,JP,JAIPUR JN.,UDZ,UDAIPUR CITY
9722,UDZ JP SF SP,12,JP,JAIPUR JN.,22:05:00,22:05:00,429,UDZ,UDAIPUR CITY,JP,JAIPUR JN.
9761,SGNR-SOG SPL,13,SOG,SURATGARH JN,07:05:00,07:05:00,125,SGNR,SHRI GANGANAGAR,SOG,SURATGARH JN.
9809,KOTA-NZM DAI,11,NZM,HAZRAT NIZAM,04:20:00,04:20:00,447,KOTA,KOTA,NZM,HAZRAT NIZAMUDDIN JN
9810,NZM-KOTA DAI,11,KOTA,KOTA,13:15:00,13:15:00,450,NZM,HAZRAT NIZAMUDDIN JN,KOTA,KOTA
10103,MANDOVI EXPR,20,MAO,MADGOAN JN.,18:45:00,18:45:00,590,CSMT,CST-MUMBAI,MAO,MADGOAN JN.
10104,MANDOVI EXPR,20,CSMT,CST-MUMBAI,21:40:00,21:40:00,594,MAO,MADGOAN JN.,CSMT,CST-MUMBAI
10111,KONKAN KANYA,20,MAO,MADGOAN JN.,10:45:00,10:45:00,590,CSMT,CST-MUMBAI,MAO,MADGOAN JN.
10112,KONKAN KANYA,20,CSMT,CST-MUMBAI,05:50:00,05:50:00,594,MAO,MADGOAN JN.,CSMT,CST-MUMBAI
10215,MAO-ERS,13,ERS,ERNAKULAM. J,10:55:00,10:55:00,726,MAO,MADGOAN JN.,ERS,ERNAKULAM. JN
10216,ERS-MAO SPL,13,MAO,MADGOAN JN.,03:15:00,03:15:00,727,ERS,ERNAKULAM. JN,MAO,MADGOAN JN.
11001,SNSI-PVR EXP,12,PVR,PANDHARPUR,12:15:00,12:15:00,348,SNSI,SAI NAGAR SHIRDI,PVR,PANDHARPUR
11002,PVR-SNSI EXP,12,SNSI,SAI NAGAR SH,20:25:00,20:25:00,348,PVR,PANDHARPUR,SNSI,SAI NAGAR SHIRDI
11003,DR-SWV TUTAR,21,SWV,SAWANTWADI R,10:40:00,10:40:00,502,DR,DADAR,SWV,SAWANTWADI ROAD
11004,SWV-DR TUTAR,21,DR,DADAR,06:45:00,06:45:00,504,SWV,SAWANTWADI ROAD,DR,DADAR
11005,DR-PDY EXPRE,39,PDY,PONDICHERRY,07:15:00,07:15:00,1636,DR,DADAR,PDY,PONDICHERRY
11006,CHALUKYA EXP,38,DR,DADAR,05:40:00,05:40:00,1639,PDY,PONDICHERRY,DR,DADAR
11007,DECCAN EXPRE,12,PUNE,PUNE JN.,11:05:00,11:05:00,191,CSMT,CST-MUMBAI,PUNE,PUNE JN.
11008,DECCAN EXPRE,11,CSMT,CST-MUMBAI,19:17:00,19:17:00,191,PUNE,PUNE JN.,CSMT,CST-MUMBAI
11009,SINHAGAD EXP,12,PUNE,PUNE JN.,18:40:00,18:40:00,191,CSMT,CST-MUMBAI,PUNE,PUNE JN.
11010,SINHAGAD EXP,11,CSMT,CST-MUMBAI,09:55:00,09:55:00,191,PUNE,PUNE JN.,CSMT,CST-MUMBAI
11011,LTT-NED EXPR,16,NED,NANDED,04:45:00,04:45:00,723,LTT,LOKMANYA TILAK TERMINUS,NED,NANDED
11012,NED-LTT  EXP,16,LTT,LOKMANYA TIL,23:45:00,23:45:00,723,NED,NANDED,LTT,LOKMANYA TILAK TERMINUS
11013,COIMBATORE E,34,CBE,COIMBATORE,07:15:00,07:15:00,1515,LTT,LOKMANYA TILAK TERMINUS,CBE,COIMBATORE  JN.
11014,LOKMANYA TT,34,LTT,LOKMANYA TIL,14:30:00,00:00:00,1515,CBE,COIMBATORE  JN.,LTT,LOKMANYA TILAK TERMINUS
11015,KUSHINAGAR E,47,GKP,GORAKHPUR JN,07:05:00,07:05:00,1678,LTT,LOKMANYA TILAK TERMINUS,GKP,GORAKHPUR JN.
11016,KUSHINAGAR E,46,LTT,LOKMANYA TIL,04:20:00,04:20:00,1677,GKP,GORAKHPUR JN.,LTT,LOKMANYA TILAK TERMINUS
11017,LTT-KIK WEEK,30,KIK,KARAIKAL,18:35:00,18:35:00,1631,LTT,LOKMANYA TILAK TERMINUS,KIK,KARAIKAL
11018,KARAIKAL LTT,30,LTT,LOKMANYA TIL,23:45:00,23:45:00,1634,KIK,KARAIKAL,LTT,LOKMANYA TILAK TERMINUS
11019,KONARK EXPRE,39,BBS,BHUBANESWAR,04:15:00,04:15:00,1941,CSMT,CST-MUMBAI,BBS,BHUBANESWAR
11020,KONARK EXPRE,40,CSMT,CST-MUMBAI,03:55:00,03:55:00,1941,BBS,BHUBANESWAR,CSMT,CST-MUMBAI
11021,DR-TEN EXPRE,40,TEN,TIRUNELVELI,11:45:00,11:45:00,1843,DR,DADAR,TEN,TIRUNELVELI JN
11022,TEN - DR EXP,39,DR,DADAR,05:40:00,00:00:00,1845,TEN,TIRUNELVELI JN,DR,DADAR
11023,SAHYADRI EXP,28,KOP,CHHATRAPATI,06:05:00,06:05:00,517,CSMT,CST-MUMBAI,KOP,CHHATRAPATI SHAHU MAHARAJ TERMINUS
11027,CSMT-MAS MAI,52,MAS,CHENNAI CENT,03:30:00,03:30:00,1281,CSMT,CST-MUMBAI,MAS,CHENNAI CENTRAL
11028,MAS-CSMT MUM,52,CSMT,CST-MUMBAI,03:45:00,03:45:00,1283,MAS,CHENNAI CENTRAL,CSMT,CST-MUMBAI
11029,KOYNA EXPRES,35,KOP,CHHATRAPATI,20:25:00,20:25:00,517,CSMT,CST-MUMBAI,KOP,CHHATRAPATI SHAHU MAHARAJ TERMINUS
11030,KOYNA EXPRES,34,CSMT,CST-MUMBAI,20:05:00,20:05:00,517,KOP,CHHATRAPATI SHAHU MAHARAJ TERMINUS,CSMT,CST-MUMBAI
11031,SUR-BJP EPXR,5,BJP,BIJAPUR JN,12:20:00,12:20:00,108,SUR,SOLAPUR,BJP,BIJAPUR JN
11032,BJP-SUR EXPR,5,SUR,SOLAPUR,17:40:00,17:40:00,108,BJP,BIJAPUR JN,SUR,SOLAPUR
11033,PUNE-DBG EXP,30,DBG,DARBHANGA JN,06:45:00,00:00:00,1955,PUNE,PUNE JN.,DBG,DARBHANGA JN.
11034,DBG-PUNE EXP,30,PUNE,PUNE JN.,08:05:00,08:05:00,1953,DBG,DARBHANGA JN.,PUNE,PUNE JN.
11035,SHARAVATHI E,27,MYS,MYSORE JN.,21:40:00,21:40:00,1210,DR,DADAR,MYS,MYSORE JN.
11036,SHARAVATI EX,26,DR,DADAR,05:40:00,05:40:00,1213,MYS,MYSORE JN.,DR,DADAR
11037,PUNE-GKP EXP,17,GKP,GORAKHPUR JN,01:05:00,01:05:00,1777,PUNE,PUNE JN.,GKP,GORAKHPUR JN.
11038,GKP-PUNE EXP,17,PUNE,PUNE JN.,04:05:00,00:00:00,1777,GKP,GORAKHPUR JN.,PUNE,PUNE JN.
11039,MAHARASHTRA,62,G,GONDIA JN.,20:15:00,00:00:00,1352,KOP,CHHATRAPATI SHAHU MAHARAJ TERMINUS,G,GONDIA JN.
11040,MAHARASHTRA,60,KOP,CHHATRAPATI,12:45:00,12:45:00,1353,G,GONDIA JN.,KOP,CHHATRAPATI SHAHU MAHARAJ TERMINUS
11041,CSMT -MAS EX,36,MAS,CHENNAI CENT,16:30:00,16:30:00,1281,CSMT,CST-MUMBAI,MAS,CHENNAI CENTRAL
11042,MAS-CSMT MUM,34,CSMT,CST-MUMBAI,13:35:00,13:35:00,1283,MAS,CHENNAI CENTRAL,CSMT,CST-MUMBAI
11043,LTT-MADURAI,27,MDU,MADURAI JN,10:10:00,10:10:00,1696,LTT,LOKMANYA TILAK TERMINUS,MDU,MADURAI JN
11044,LOKAMANYA TT,26,LTT,LOKMANYA TIL,05:45:00,05:45:00,1700,MDU,MADURAI JN,LTT,LOKMANYA TILAK TERMINUS
11045,DIKSHABHOOMI,39,DHN,DHANBAD JN.,12:00:00,00:00:00,2894,KOP,CHHATRAPATI SHAHU MAHARAJ TERMINUS,DHN,DHANBAD JN.
11046,DIKSHABHUMI,39,KOP,CHHATRAPATI,03:35:00,03:35:00,2892,DHN,DHANBAD JN.,KOP,CHHATRAPATI SHAHU MAHARAJ TERMINUS
11047,MRJ UBL EXP,12,UBL,HUBLI JN.,06:25:00,06:25:00,278,MRJ,MIRAJ JN.,UBL,HUBLI JN.
11048,UBL MRJ EXPR,12,MRJ,MIRAJ JN.,05:15:00,05:15:00,279,UBL,HUBLI JN.,MRJ,MIRAJ JN.
11049,ADI-KOP EXPR,18,KOP,CHHATRAPATI,15:25:00,00:00:00,949,ADI,AHMEDABAD,KOP,CHHATRAPATI SHAHU MAHARAJ TERMINUS
11050,KOP-ADI EXPR,18,ADI,AHMEDABAD,07:45:00,07:45:00,949,KOP,CHHATRAPATI SHAHU MAHARAJ TERMINUS,ADI,AHMEDABAD
11051,SUR - KOP EX,9,KOP,CHHATRAPATI,06:20:00,06:20:00,314,SUR,SOLAPUR,KOP,CHHATRAPATI SHAHU MAHARAJ TERMINUS
11052,KOP - SUR EX,9,SUR,SOLAPUR,07:30:00,07:30:00,314,KOP,CHHATRAPATI SHAHU MAHARAJ TERMINUS,SUR,SOLAPUR
11053,LTT-AMH EXPR,17,AMH,AZAMGARH,02:10:00,00:00:00,1552,LTT,LOKMANYA TILAK TERMINUS,AMH,AZAMGARH
11054,AMH-LTT EXPR,17,LTT,LOKMANYA TIL,12:15:00,12:15:00,1551,AMH,AZAMGARH,LTT,LOKMANYA TILAK TERMINUS
11055,GODAN EXPRES,23,GKP,GORAKHPUR JN,20:20:00,00:00:00,1732,LTT,LOKMANYA TILAK TERMINUS,GKP,GORAKHPUR JN.
11056,GODAN EXPRES,23,LTT,LOKMANYA TIL,16:15:00,16:15:00,1732,GKP,GORAKHPUR JN.,LTT,LOKMANYA TILAK TERMINUS
11057,AMRITSAR EXP,90,ASR,AMRITSAR JN.,16:30:00,16:30:00,2026,CSMT,CST-MUMBAI,ASR,AMRITSAR JN.
11058,ASR CSMT EXP,91,CSMT,CST-MUMBAI,04:05:00,04:05:00,2029,ASR,AMRITSAR JN.,CSMT,CST-MUMBAI
11059,CHHAPRA EXPR,24,CPR,CHHAPRA JN.,21:05:00,00:00:00,1772,LTT,LOKMANYA TILAK TERMINUS,CPR,CHHAPRA JN.
11060,CPR LTT EXPR,24,LTT,LOKMANYA TIL,16:15:00,16:15:00,1770,CPR,CHHAPRA JN.,LTT,LOKMANYA TILAK TERMINUS
11061,LTT-DBG  EXP,41,DBG,DARBHANGA JN,01:10:00,01:10:00,1885,LTT,LOKMANYA TILAK TERMINUS,DBG,DARBHANGA JN.
11062,DBG  LTT EXP,39,LTT,LOKMANYA TIL,03:40:00,03:40:00,1883,DBG,DARBHANGA JN.,LTT,LOKMANYA TILAK TERMINUS
11063,MS SA SUPER,14,SA,SALEM JN.,05:20:00,05:20:00,352,MS,CHENNAI EGMORE,SA,SALEM JN.
11064,SA MS SUPERF,14,MS,CHENNAI EGMO,03:45:00,03:45:00,352,SA,SALEM JN.,MS,CHENNAI EGMORE
11067,SAKET EXPRES,20,FD,FAIZABAD JN.,08:55:00,00:00:00,1510,LTT,LOKMANYA TILAK TERMINUS,FD,FAIZABAD JN.
11068,SAKET EXPRES,20,LTT,LOKMANYA TIL,21:30:00,21:30:00,1509,FD,FAIZABAD JN.,LTT,LOKMANYA TILAK TERMINUS
11071,KAMAYANI EXP,43,BSB,VARANASI JN.,19:25:00,19:25:00,1645,LTT,LOKMANYA TILAK TERMINUS,BSB,VARANASI JN.
11072,KAMAYANI EXP,41,LTT,LOKMANYA TIL,22:50:00,22:50:00,1647,BSB,VARANASI JN.,LTT,LOKMANYA TILAK TERMINUS
11073,LTT-MAS EXPR,18,MAS,CHENNAI CENT,12:55:00,12:55:00,1265,LTT,LOKMANYA TILAK TERMINUS,MAS,CHENNAI CENTRAL
11074,CHENNAI - LT,17,LTT,LOKMANYA TIL,16:00:00,16:00:00,1267,MAS,CHENNAI CENTRAL,LTT,LOKMANYA TILAK TERMINUS
11075,LTT-BIDR EXP,13,BIDR,BIDAR,01:30:00,01:30:00,651,LTT,LOKMANYA TILAK TERMINUS,BIDR,BIDAR
11076,BIDR-LTT EXP,13,LTT,LOKMANYA TIL,23:55:00,23:55:00,651,BIDR,BIDAR,LTT,LOKMANYA TILAK TERMINUS
11077,JHELUM EXPRE,67,JAT,JAMMU TAWI,10:05:00,10:05:00,2155,PUNE,PUNE JN.,JAT,JAMMU TAWI
11078,JHELUM EXPRE,65,PUNE,PUNE JN.,15:10:00,15:10:00,2157,JAT,JAMMU TAWI,PUNE,PUNE JN.
11079,LTT-GKP EXPR,25,GKP,GORAKHPUR JN,01:30:00,01:30:00,1745,LTT,LOKMANYA TILAK TERMINUS,GKP,GORAKHPUR JN.
11080,GKP-LTT EXPR,24,LTT,LOKMANYA TIL,16:00:00,00:00:00,1745,GKP,GORAKHPUR JN.,LTT,LOKMANYA TILAK TERMINUS
11081,LTT-GKP VIA,20,GKP,GORAKHPUR JN,02:05:00,00:00:00,1731,LTT,LOKMANYA TILAK TERMINUS,GKP,GORAKHPUR JN.
11082,GKP-LTT VIA,19,LTT,LOKMANYA TIL,23:00:00,00:00:00,1731,GKP,GORAKHPUR JN.,LTT,LOKMANYA TILAK TERMINUS
11083,LTT-KZJ TADO,29,KZJ,KAZIPET JN.,15:00:00,15:00:00,1153,LTT,LOKMANYA TILAK TERMINUS,KZJ,KAZIPET JN.
11084,KZJ-LTT TADO,28,LTT,LOKMANYA TIL,23:15:00,23:15:00,1153,KZJ,KAZIPET JN.,LTT,LOKMANYA TILAK TERMINUS
11085,LTT-MAO DOUB,11,MAO,MADGOAN JN.,17:30:00,17:30:00,574,LTT,LOKMANYA TILAK TERMINUS,MAO,MADGOAN JN.
11086,MAO-LTT DOUB,11,LTT,LOKMANYA TIL,17:10:00,17:10:00,578,MAO,MADGOAN JN.,LTT,LOKMANYA TILAK TERMINUS
11087,VRL-PUNE EXP,26,PUNE,PUNE JN.,04:40:00,04:40:00,1053,VRL,VERAVAL,PUNE,PUNE JN.
11088,PUNE-VRL EXP,25,VRL,VERAVAL,16:45:00,16:45:00,1053,PUNE,PUNE JN.,VRL,VERAVAL
11089,BGKTPUNE EXP,26,PUNE,PUNE JN.,04:40:00,04:40:00,1074,BGKT,BHAGAT-KI-KOTHI,PUNE,PUNE JN.
11090,PUNE BGKT EX,26,BGKT,BHAGAT-KI-KO,17:10:00,17:10:00,1072,PUNE,PUNE JN.,BGKT,BHAGAT-KI-KOTHI
11091,BHUJ PUNE EX,24,PUNE,PUNE JN.,04:40:00,04:40:00,981,BHUJ,NEW BHUJ,PUNE,PUNE JN.
11092,PUNE BHUJ EX,24,BHUJ,NEW BHUJ,15:20:00,15:20:00,981,PUNE,PUNE JN.,BHUJ,NEW BHUJ
11093,MAHANAGARI E,27,BSB,VARANASI JN.,04:40:00,04:40:00,1516,CSMT,CST-MUMBAI,BSB,VARANASI JN.
11094,MAHANAGARI E,26,CSMT,CST-MUMBAI,14:15:00,14:15:00,1515,BSB,VARANASI JN.,CSMT,CST-MUMBAI
11095,AHIMSA EXPRE,17,PUNE,PUNE JN.,04:40:00,00:00:00,623,ADI,AHMEDABAD,PUNE,PUNE JN.
11096,AHIMSA EXPRE,16,ADI,AHMEDABAD,07:45:00,07:45:00,622,PUNE,PUNE JN.,ADI,AHMEDABAD
11097,POORNA EXPRE,33,ERS,ERNAKULAM. J,08:10:00,08:10:00,1278,PUNE,PUNE JN.,ERS,ERNAKULAM. JN
11098,POORNA EXPRE,32,PUNE,PUNE JN.,05:05:00,05:05:00,1279,ERS,ERNAKULAM. JN,PUNE,PUNE JN.
11101,PUNE-GWALIOR,23,GWL,GWALIOR JN,03:10:00,03:10:00,1373,PUNE,PUNE JN.,GWL,GWALIOR JN
11102,GWL-PUNE EXP,23,PUNE,PUNE JN.,20:05:00,20:05:00,1373,GWL,GWALIOR JN,PUNE,PUNE JN.
11103,JHS-BDTS EXP,21,BDTS,BANDRA TERMI,16:45:00,16:45:00,1321,JHS,JHANSI JN,BDTS,BANDRA TERMINUS
11104,BDTS-JHS EXP,21,JHS,JHANSI JN,06:40:00,06:40:00,1321,BDTS,BANDRA TERMINUS,JHS,JHANSI JN
11107,BUNDELKHAND,31,BSB,VARANASI JN.,10:50:00,10:50:00,629,GWL,GWALIOR JN,BSB,VARANASI JN.
11108,BUNDELKHAND,37,GWL,GWALIOR JN,09:05:00,09:05:00,629,BSB,VARANASI JN.,GWL,GWALIOR JN
11109,JHS-LKO INTE,11,LJN,LUCKNOW JN.,12:05:00,12:05:00,291,JHS,JHANSI JN,LJN,LUCKNOW JN.
11110,LKO -JHS INT,11,JHS,JHANSI JN,22:35:00,22:35:00,291,LJN,LUCKNOW JN.,JHS,JHANSI JN
11111,GWL-BLP SUSH,12,BLP,"BALRAMPUR,",09:00:00,09:00:00,939,GWL,GWALIOR JN,BLP,"BALRAMPUR,"
11112,BLP-GWL SUSH,12,GWL,GWALIOR JN,06:10:00,06:10:00,941,BLP,"BALRAMPUR,",GWL,GWALIOR JN
11123,BARAUNI-GWL,49,GWL,GWALIOR JN,20:55:00,20:55:00,1051,BJU,BARAUNI JN.,GWL,GWALIOR JN
11124,GWALIAR-BJU,49,BJU,BARAUNI JN.,13:00:00,13:00:00,1054,GWL,GWALIOR JN,BJU,BARAUNI JN.
11125,IND-GWL EXP,11,GWL,GWALIOR JN,07:47:00,00:00:00,561,INDB,INDORE BG,GWL,GWALIOR JN
11126,GWL-IND EXP,11,INDB,INDORE BG,07:55:00,00:00:00,561,GWL,GWALIOR JN,INDB,INDORE BG
11201,LTT-AJNI EXP,26,AJNI,AJNI,14:15:00,14:15:00,1015,LTT,LOKMANYA TILAK TERMINUS,AJNI,AJNI
11202,AJNI-LTT EXP,26,LTT,LOKMANYA TIL,13:45:00,13:45:00,1015,AJNI,AJNI,LTT,LOKMANYA TILAK TERMINUS
11203,NAGPUR JAIPU,28,JP,JAIPUR JN.,14:05:00,14:05:00,1340,NGP,NAGPUR JN.(CR),JP,JAIPUR JN.
11204,JAIPUR NAGPU,28,NGP,NAGPUR JN.(C,19:15:00,19:15:00,1340,JP,JAIPUR JN.,NGP,NAGPUR JN.(CR)
11205,LTT-NZB EXPR,20,NZB,NIZAMABAD,09:15:00,09:15:00,699,LTT,LOKMANYA TILAK TERMINUS,NZB,NIZAMABAD
11206,NZB-LTT WEEK,20,LTT,LOKMANYA TIL,13:45:00,13:45:00,699,NZB,NIZAMABAD,LTT,LOKMANYA TILAK TERMINUS
11265,JBP-ABKP EXP,14,ABKP,AMBIKAPUR,23:00:00,23:00:00,432,JBP,JABALPUR,ABKP,AMBIKAPUR
11266,ABKP-JBP EXP,14,JBP,JABALPUR,14:55:00,14:55:00,434,ABKP,AMBIKAPUR,JBP,JABALPUR
11272,VINDHYACHAL,47,ET,ITARSI,12:10:00,12:10:00,737,BPL,BHOPAL,ET,ITARSI
11301,UDYAN EXPRES,35,SBC,KRANTIVIRA S,08:50:00,08:50:00,1154,CSMT,CST-MUMBAI,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)
11302,UDYAN EXP,34,CSMT,CST-MUMBAI,20:15:00,00:00:00,1154,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),CSMT,CST-MUMBAI
11303,HYB-KOP EXPR,38,KOP,CHHATRAPATI,22:40:00,22:40:00,989,HYB,HYDERABAD DECCAN,KOP,CHHATRAPATI SHAHU MAHARAJ TERMINUS
11304,KOP-HYB EXPR,38,HYB,HYDERABAD DE,06:45:00,06:45:00,987,KOP,CHHATRAPATI SHAHU MAHARAJ TERMINUS,HYB,HYDERABAD DECCAN
11307,GR-HYB- INTE,7,HYB,HYDERABAD DE,14:50:00,14:50:00,221,GR,GULBARGA,HYB,HYDERABAD DECCAN
11308,HYB-GR INTER,7,GR,GULBARGA,21:00:00,21:00:00,223,HYB,HYDERABAD DECCAN,GR,GULBARGA
11309,SUR-MRJ EXP,14,MRJ,MIRAJ JN.,12:05:00,12:05:00,267,SUR,SOLAPUR,MRJ,MIRAJ JN.
11310,MRJ-SUR EXP,14,SUR,SOLAPUR,20:55:00,20:55:00,267,MRJ,MIRAJ JN.,SUR,SOLAPUR
11401,NANDIGRHAM E,34,NGP,NAGPUR JN.(C,16:15:00,16:15:00,1053,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
11402,NADHIGRAM EX,34,CSMT,CST-MUMBAI,05:35:00,05:35:00,1052,NGP,NAGPUR JN.(CR),CSMT,CST-MUMBAI
11403,NGP-KOP EXPR,22,KOP,CHHATRAPATI,14:00:00,14:00:00,1026,NGP,NAGPUR JN.(CR),KOP,CHHATRAPATI SHAHU MAHARAJ TERMINUS
11404,KOP-NGP EXPR,22,NGP,NAGPUR JN.(C,12:35:00,12:35:00,1026,KOP,CHHATRAPATI SHAHU MAHARAJ TERMINUS,NGP,NAGPUR JN.(CR)
11405,PUNE-AMRAVAT,18,AMI,AMRAVATI,15:00:00,15:00:00,811,PUNE,PUNE JN.,AMI,AMRAVATI
11406,AMRAVAI-PUNE,18,PUNE,PUNE JN.,13:15:00,13:15:00,812,AMI,AMRAVATI,PUNE,PUNE JN.
11407,PUNE-LJN EXP,17,LJN,LUCKNOW JN.,02:30:00,02:30:00,1478,PUNE,PUNE JN.,LJN,LUCKNOW JN.
11408,LJN-PUNE EXP,17,PUNE,PUNE JN.,11:05:00,11:05:00,1478,LJN,LUCKNOW JN.,PUNE,PUNE JN.
11423,SUR HUBLI EX,14,UBL,HUBLI JN.,14:30:00,14:30:00,357,SUR,SOLAPUR,UBL,HUBLI JN.
11424,GDG-SUR EXPR,14,SUR,SOLAPUR,23:15:00,23:15:00,356,UBL,HUBLI JN.,SUR,SOLAPUR
11447,SHAKTIPUNJ E,45,HWH,HOWRAH JN.,04:15:00,04:15:00,1156,JBP,JABALPUR,HWH,HOWRAH JN.
11448,SHAKTIPUNJ E,46,JBP,JABALPUR,14:25:00,14:25:00,1155,HWH,HOWRAH JN.,JBP,JABALPUR
11449,JBP-SVDK EXP,34,SVDK,SHRI MATA VA,15:20:00,15:20:00,1561,JBP,JABALPUR,SVDK,SHRI MATA VAISHNO DEVI KATRA
11450,SVDK-JBP EXP,31,JBP,JABALPUR,07:25:00,07:25:00,1564,SVDK,SHRI MATA VAISHNO DEVI KATRA,JBP,JABALPUR
11463,SMNH-JBP EXP,50,JBP,JABALPUR,15:10:00,15:10:00,1416,SMNH,SOMNATH,JBP,JABALPUR
11464,JBP -SMNH EX,50,SMNH,SOMNATH,17:45:00,17:45:00,1417,JBP,JABALPUR,SMNH,SOMNATH
11465,SMNH-JBP EXP,49,JBP,JABALPUR,18:00:00,18:00:00,1572,SMNH,SOMNATH,JBP,JABALPUR
11466,JBP-SMNH EXP,50,SMNH,SOMNATH,17:45:00,17:45:00,1575,JBP,JABALPUR,SMNH,SOMNATH
11651,JBP-SGRL INT,14,SGRL,SINGRAULI,22:25:00,00:00:00,344,JBP,JABALPUR,SGRL,SINGRAULI
11652,SGRL-JBP INT,14,JBP,JABALPUR,11:55:00,11:55:00,345,SGRL,SINGRAULI,JBP,JABALPUR
11701,JBP-INDB INT,16,INDB,INDORE BG,20:30:00,20:30:00,751,JBP,JABALPUR,INDB,INDORE BG
11702,INDB-JBP INT,16,JBP,JABALPUR,19:35:00,19:35:00,751,INDB,INDORE BG,JBP,JABALPUR
11703,REWA-DADN  E,20,DADN,MHOW,16:05:00,16:05:00,823,REWA,REWA,DADN,MHOW
11704,INDB-REWA EX,20,REWA,REWA,12:15:00,12:15:00,821,DADN,MHOW,REWA,REWA
11801,JHS-ETW EXPR,6,ETW,ETAWAH,22:30:00,22:30:00,215,JHS,JHANSI JN,ETW,ETAWAH
11802,ETW-JHS LINK,6,JHS,JHANSI JN,10:05:00,10:05:00,215,ETW,ETAWAH,JHS,JHANSI JN
11901,MTJ-KKDE EXP,13,KKDE,KURUKSHETRA,12:40:00,12:40:00,292,MTJ,MATHURA JN.,KKDE,KURUKSHETRA JN.
11902,KKDE-MTJ EXP,13,MTJ,MATHURA JN.,21:35:00,21:35:00,294,KKDE,KURUKSHETRA JN.,MTJ,MATHURA JN.
12001,BPL - NDLS S,10,NDLS,NEW DELHI,23:30:00,23:30:00,688,HBJ,HABIBGANJ,NDLS,NEW DELHI
12002,NDLS - BPL S,10,HBJ,HABIBGANJ,14:25:00,14:25:00,690,NDLS,NEW DELHI,HBJ,HABIBGANJ
12003,LKO-NDLS SHA,7,NDLS,NEW DELHI,22:15:00,22:15:00,504,LJN,LUCKNOW JN.,NDLS,NEW DELHI
12004,NDLS-LKO SHA,7,LJN,LUCKNOW JN.,12:40:00,12:40:00,504,NDLS,NEW DELHI,LJN,LUCKNOW JN.
12005,NDLS-KLK- SH,5,KLK,KALKA,21:20:00,21:20:00,268,NDLS,NEW DELHI,KLK,KALKA
12006,KLK-NDLS SHA,5,NDLS,NEW DELHI,10:20:00,10:20:00,268,KLK,KALKA,NDLS,NEW DELHI
12007,MAS-MYS SHAT,4,MYS,MYSORE JN.,13:00:00,13:00:00,498,MAS,CHENNAI CENTRAL,MYS,MYSORE JN.
12008,MYS-MAS SHAT,4,MAS,CHENNAI CENT,21:25:00,21:25:00,499,MYS,MYSORE JN.,MAS,CHENNAI CENTRAL
12009,SHATABDI EXP,9,ADI,AHMEDABAD,12:45:00,12:45:00,490,BCT,MUMBAI CENTRAL,ADI,AHMEDABAD
12010,SHATABDI EXP,9,BCT,MUMBAI CENTR,21:20:00,21:20:00,490,ADI,AHMEDABAD,BCT,MUMBAI CENTRAL
12011,NDLS-KLK SHA,6,KLK,KALKA,11:45:00,11:45:00,268,NDLS,NEW DELHI,KLK,KALKA
12012,KLK-NDLS SHA,6,NDLS,NEW DELHI,21:55:00,21:55:00,268,KLK,KALKA,NDLS,NEW DELHI
12013,NDLS-ASR SHA,8,ASR,AMRITSAR JN.,22:30:00,22:30:00,447,NDLS,NEW DELHI,ASR,AMRITSAR JN.
12014,ASR-NDLS SHA,8,NDLS,NEW DELHI,11:00:00,11:00:00,447,ASR,AMRITSAR JN.,NDLS,NEW DELHI
12015,NDLS-AII SHA,10,AII,AJMER JN.,12:45:00,12:45:00,442,NDLS,NEW DELHI,AII,AJMER JN.
12016,AII-NDLS SHA,10,NDLS,NEW DELHI,22:40:00,22:40:00,442,AII,AJMER JN.,NDLS,NEW DELHI
12017,NDLS-DDN SHA,8,DDN,DEHRA DUN,12:40:00,12:40:00,314,NDLS,NEW DELHI,DDN,DEHRA DUN
12018,DDN-NDLS SHA,8,NDLS,NEW DELHI,22:45:00,22:45:00,314,DDN,DEHRA DUN,NDLS,NEW DELHI
12019,HOWRAH RANCH,10,RNC,RANCHI,13:15:00,13:15:00,436,HWH,HOWRAH JN.,RNC,RANCHI
12020,RNC HWH SHAT,10,HWH,HOWRAH JN.,21:30:00,21:30:00,434,RNC,RANCHI,HWH,HOWRAH JN.
12021,HOWRAH-BARAB,10,BBN,BARBIL,13:05:00,13:05:00,402,HWH,HOWRAH JN.,BBN,BARBIL
12022,BARABIL-HOWR,11,HWH,HOWRAH JN.,20:50:00,20:50:00,401,BBN,BARBIL,HWH,HOWRAH JN.
